EA,CLS,SENT,ASP
FOOD#QUALITY,1,"it is terrific , as is the value .",quality
FOOD#PRICES,1,"it is terrific , as is the value .",prices
FOOD#STYLE_OPTIONS,1,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",options
FOOD#QUALITY,1,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",quality
FOOD#PRICES,1,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",prices
FOOD#QUALITY,1,"i am not a vegetarian but , almost all the dishes were great .",quality
RESTAURANT#GENERAL,1,go hungry and enjoy .,general
FOOD#QUALITY,1,"the food here is rather good , but only if you like to wait for it .",quality
SERVICE#GENERAL,-1,"the food here is rather good , but only if you like to wait for it .",general
FOOD#QUALITY,1,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",quality
FOOD#QUALITY,1,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",quality
FOOD#QUALITY,1,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",quality
FOOD#QUALITY,-1,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",quality
FOOD#QUALITY,-1,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",quality
SERVICE#GENERAL,-1,"the service varys from day to day- sometimes they 're very nice , and sometimes not .",general
SERVICE#GENERAL,-1,"the kitchen however , is almost always slow .",general
FOOD#QUALITY,-1,"also , specify if you like your food spicy- its rather bland if you do n't .",quality
AMBIENCE#GENERAL,1,"the ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",general
RESTAURANT#MISCELLANEOUS,1,"the ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",miscellaneous
LOCATION#GENERAL,1,if you 've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .,general
SERVICE#GENERAL,1,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,general
FOOD#QUALITY,1,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,quality
FOOD#PRICES,1,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,prices
FOOD#QUALITY,1,the lava cake dessert was incredible and i recommend it .,quality
AMBIENCE#GENERAL,1,"once you step into cosette , you 're miraculously in a small , off-the-beaten path parisian bistro .",general
AMBIENCE#GENERAL,1,"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",general
FOOD#QUALITY,1,"the food was average to above-average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",quality
FOOD#QUALITY,-1,"the food was average to above-average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",quality
FOOD#STYLE_OPTIONS,1,"the food was average to above-average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",options
FOOD#QUALITY,-1,"the food was average to above-average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",quality
AMBIENCE#GENERAL,1,"however , go for the ambience , and consider the food just a companion for a trip across the world !",general
FOOD#QUALITY,0,"however , go for the ambience , and consider the food just a companion for a trip across the world !",quality
RESTAURANT#GENERAL,-1,it was horrible .,general
FOOD#QUALITY,-1,the pizza was delivered cold and the cheese was n't even fully melted !,quality
FOOD#QUALITY,-1,the pizza was delivered cold and the cheese was n't even fully melted !,quality
FOOD#QUALITY,-1,it looked like shredded cheese partly done - still in strips .,quality
RESTAURANT#GENERAL,-1,this has got to be one of the most overrated restaurants in brooklyn .,general
FOOD#QUALITY,-1,the pizza is overpriced and soggy .,quality
FOOD#PRICES,-1,the pizza is overpriced and soggy .,prices
FOOD#QUALITY,1,"yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",quality
FOOD#QUALITY,-1,"yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",quality
FOOD#QUALITY,-1,"yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",quality
RESTAURANT#GENERAL,-1,"a big disappointment , all around .",general
FOOD#QUALITY,1,i think i 've had some the best meals of my life at minnow .,quality
FOOD#QUALITY,1,"the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",quality
DRINKS#STYLE_OPTIONS,1,"the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",options
FOOD#STYLE_OPTIONS,1,"the seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",options
FOOD#QUALITY,1,the combination of super-fresh ingredients in the dishes are unusual but really delicious .,quality
RESTAURANT#GENERAL,1,worth the trip from manhattan .,general
FOOD#QUALITY,1,best pastrami i ever had and great portion without being ridiculous .,quality
FOOD#STYLE_OPTIONS,1,best pastrami i ever had and great portion without being ridiculous .,options
FOOD#STYLE_OPTIONS,1,my wife had the fried shrimp which are huge and loved it .,options
FOOD#QUALITY,1,my wife had the fried shrimp which are huge and loved it .,quality
RESTAURANT#GENERAL,1,"as a japanese native , i 've lived in the tristate area for over 8 years , but i was just so amazed at this place .",general
RESTAURANT#MISCELLANEOUS,1,this place is the most japanese it can ever get .,miscellaneous
RESTAURANT#MISCELLANEOUS,1,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",miscellaneous
FOOD#STYLE_OPTIONS,1,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",options
FOOD#QUALITY,1,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",quality
SERVICE#GENERAL,1,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",general
RESTAURANT#GENERAL,1,this place is worth an one-hour drive .,general
RESTAURANT#GENERAL,1,"i am so coming back here again , as much as i can .",general
RESTAURANT#GENERAL,1,"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",general
AMBIENCE#GENERAL,1,"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",general
FOOD#QUALITY,1,"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",quality
AMBIENCE#GENERAL,1,"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",general
FOOD#QUALITY,1,"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",quality
SERVICE#GENERAL,1,"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",general
DRINKS#QUALITY,0,decent wine at reasonable prices .,quality
DRINKS#PRICES,1,decent wine at reasonable prices .,prices
RESTAURANT#GENERAL,1,have been dozens of times and never failed to enjoy the experience .,general
RESTAURANT#GENERAL,1,"our teenage kids love it , too .",general
RESTAURANT#GENERAL,1,"everytime i decide to try another place on the ues , i get angry that i did n't just go to zucchero pomodori .",general
RESTAURANT#GENERAL,1,this is by far my favorite place in the neighborhood .,general
SERVICE#GENERAL,1,"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",general
AMBIENCE#GENERAL,1,"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",general
FOOD#QUALITY,1,"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",quality
FOOD#STYLE_OPTIONS,1,"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",options
RESTAURANT#GENERAL,1,i 'm partial to the gnocchi .,general
AMBIENCE#GENERAL,-1,this place is incredibly tiny .,general
SERVICE#GENERAL,-1,they refuse to seat parties of 3 or more on weekends .,general
SERVICE#GENERAL,-1,the hostess is rude to the point of being offensive .,general
FOOD#QUALITY,-1,the food was bland oily .,quality
RESTAURANT#GENERAL,-1,i just do n't understand all the hype ...,general
FOOD#QUALITY,1,"we have been to this place many times , and always have great food , wine , and service .",quality
DRINKS#QUALITY,1,"we have been to this place many times , and always have great food , wine , and service .",quality
SERVICE#GENERAL,1,"we have been to this place many times , and always have great food , wine , and service .",general
SERVICE#GENERAL,1,"we were worried we would have trouble getting in , but somehow managed to have a short wait .",general
DRINKS#QUALITY,1,as always we had a great glass of wine while we waited .,quality
SERVICE#GENERAL,1,"when we sat , we got great and fast service .",general
SERVICE#GENERAL,1,the people that work there are always so friendly you forget you are in new york sometimes .,general
RESTAURANT#GENERAL,1,make sure you try this place as often as you can .,general
RESTAURANT#GENERAL,1,this is a fun restaurant to go to .,general
FOOD#QUALITY,1,the pizza is yummy and i like the atmoshpere .,quality
AMBIENCE#GENERAL,1,the pizza is yummy and i like the atmoshpere .,general
FOOD#PRICES,-1,but the pizza is way to expensive .,prices
FOOD#QUALITY,-1,i went there for lunch and it was not as good as i expected from the reviews i read .,quality
FOOD#QUALITY,-1,sauce was watery and the food did n't have much flavor .,quality
FOOD#QUALITY,-1,sauce was watery and the food did n't have much flavor .,quality
RESTAURANT#GENERAL,-1,i do n't think i would go again .,general
RESTAURANT#GENERAL,1,this place is great .,general
SERVICE#GENERAL,1,i had a huge group for my birthday and we were well taken care of .,general
SERVICE#GENERAL,1,the waitress was very patient with us and the food is phenomenal !,general
FOOD#QUALITY,1,the waitress was very patient with us and the food is phenomenal !,quality
SERVICE#GENERAL,1,"service was prompt , friendly and great .",general
RESTAURANT#PRICES,-1,slightly on the pricey side but worth it !,prices
RESTAURANT#GENERAL,1,slightly on the pricey side but worth it !,general
FOOD#QUALITY,1,great pizza and fantastic service .,quality
SERVICE#GENERAL,1,great pizza and fantastic service .,general
SERVICE#GENERAL,1,"there was a small wait , but shorter than i expected .",general
LOCATION#GENERAL,1,located at the end of a magnificent block .,general
AMBIENCE#GENERAL,1,very cozy and warm inside ... ..,general
RESTAURANT#GENERAL,1,i will be back !,general
FOOD#QUALITY,1,this is the best sushi in new york city - hands down .,quality
AMBIENCE#GENERAL,-1,the place is small and cramped but the food is fantastic .,general
FOOD#QUALITY,1,the place is small and cramped but the food is fantastic .,quality
FOOD#QUALITY,1,get the tuna of gari .,quality
FOOD#QUALITY,1,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",quality
FOOD#QUALITY,1,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",quality
RESTAURANT#GENERAL,1,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",general
FOOD#STYLE_OPTIONS,1,"with the great variety on the menu , i eat here often and never get bored .",options
AMBIENCE#GENERAL,-1,"the atmosphere is n't the greatest , but i suppose that 's how they keep the prices down .",general
RESTAURANT#PRICES,1,"the atmosphere is n't the greatest , but i suppose that 's how they keep the prices down .",prices
FOOD#QUALITY,1,it 's all about the food ! !,quality
RESTAURANT#MISCELLANEOUS,-1,first it took us a long time to find the place .,miscellaneous
FOOD#STYLE_OPTIONS,-1,"but when we looked at the menu , there were n't a lot of choices , most of them were dumplings in the appetizer section .",options
FOOD#STYLE_OPTIONS,0,"those rolls were big , but not good and sashimi was n't fresh .",options
FOOD#QUALITY,-1,"those rolls were big , but not good and sashimi was n't fresh .",quality
FOOD#QUALITY,-1,"those rolls were big , but not good and sashimi was n't fresh .",quality
FOOD#QUALITY,-1,"they were dry and disgusting , i did n't even finish my first piece .",quality
SERVICE#GENERAL,1,hurley 's is like cheers where everyone knows your name and they are actually glad you came .,general
FOOD#QUALITY,1,"try the crunchy tuna , it is to die for .",quality
FOOD#QUALITY,1,"try everything for that matter , it is all good .",quality
RESTAURANT#GENERAL,1,i have been going there since it opened and i ca n't get enough .,general
AMBIENCE#GENERAL,1,first went here to enjoy their garden terrace .,general
FOOD#QUALITY,1,"the food was amazing , and the service was prompt and helpful , but not over-bearing or rushed .",quality
SERVICE#GENERAL,1,"the food was amazing , and the service was prompt and helpful , but not over-bearing or rushed .",general
FOOD#STYLE_OPTIONS,1,"the steak tartare is a great bet , they fix it for you at the table .",options
AMBIENCE#GENERAL,1,"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",general
AMBIENCE#GENERAL,-1,"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",general
DRINKS#STYLE_OPTIONS,1,"great wine selection , gigondas is worth the price , and the house champagne is a great value .",options
DRINKS#QUALITY,1,"great wine selection , gigondas is worth the price , and the house champagne is a great value .",quality
DRINKS#PRICES,1,"great wine selection , gigondas is worth the price , and the house champagne is a great value .",prices
AMBIENCE#GENERAL,0,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",general
AMBIENCE#GENERAL,1,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",general
FOOD#QUALITY,1,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",quality
RESTAURANT#MISCELLANEOUS,1,"have recommended the place to friends , always gets good response .",miscellaneous
FOOD#QUALITY,1,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",quality
FOOD#QUALITY,1,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",quality
RESTAURANT#MISCELLANEOUS,1,i take all my nyc guests to vt 's .,miscellaneous
LOCATION#GENERAL,1,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",general
FOOD#QUALITY,1,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",quality
RESTAURANT#GENERAL,1,i 've been there three times and have always had wonderful experiences .,general
AMBIENCE#GENERAL,1,i 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,general
SERVICE#GENERAL,1,i 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,general
RESTAURANT#MISCELLANEOUS,1,i 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,miscellaneous
RESTAURANT#GENERAL,1,i 'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much ... and we 're repeat customers .,general
SERVICE#GENERAL,-1,even after they overcharged me the last time i was there .,general
FOOD#QUALITY,1,make sure you have the spicy scallop roll.. .,quality
FOOD#QUALITY,1,it 's delicious !,quality
FOOD#QUALITY,1,"moules were excellent , lobster ravioli was very salty !",quality
FOOD#QUALITY,-1,"moules were excellent , lobster ravioli was very salty !",quality
SERVICE#GENERAL,-1,"took my mom for mother 's day , and the maitre d ' was pretty rude .",general
SERVICE#GENERAL,-1,"told us to sit anywhere , and when we sat he said the table was reserved .",general
SERVICE#GENERAL,-1,stepped on my foot on the second time he reached over me to adjust lighting .,general
FOOD#QUALITY,-1,tiny dessert was $ 8.00 ... just plain overpriced for what it is .,quality
FOOD#STYLE_OPTIONS,-1,tiny dessert was $ 8.00 ... just plain overpriced for what it is .,options
FOOD#PRICES,-1,tiny dessert was $ 8.00 ... just plain overpriced for what it is .,prices
DRINKS#QUALITY,1,the drinks are always welll made and wine selection is fairly priced .,quality
DRINKS#PRICES,1,the drinks are always welll made and wine selection is fairly priced .,prices
FOOD#QUALITY,1,try their chef 's specials -- they are to die for .,quality
SERVICE#GENERAL,0,"service is not exactly five star , but thats not really a big deal .",general
AMBIENCE#GENERAL,1,downstairs lounge is always a good attraction,general
AMBIENCE#GENERAL,1,"raga 's is a romantic , cozy restaurant .",general
FOOD#STYLE_OPTIONS,1,the exotic food is beautifully presented and is a delight in delicious combinations .,options
FOOD#QUALITY,1,the exotic food is beautifully presented and is a delight in delicious combinations .,quality
FOOD#PRICES,1,it is also extremely well priced .,prices
SERVICE#GENERAL,1,the staff is incredibly helpful and attentive .,general
DRINKS#STYLE_OPTIONS,1,the bar is very well stocked with interesting beers and well priced wines .,options
DRINKS#STYLE_OPTIONS,1,the bar is very well stocked with interesting beers and well priced wines .,options
DRINKS#PRICES,1,the bar is very well stocked with interesting beers and well priced wines .,prices
RESTAURANT#GENERAL,1,this is one of my favorite restaurants and it is not to be missed .,general
RESTAURANT#GENERAL,1,your friends will thank you for introducing them to this gem !,general
RESTAURANT#GENERAL,-1,"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .",general
SERVICE#GENERAL,-1,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no ...",general
SERVICE#GENERAL,-1,"then , to top things off , she dropped used silverware on my boyfriend 's jacket and did not stop to apologize or clean the mess that was left on clothes .",general
SERVICE#GENERAL,-1,such a disappointment ...,general
SERVICE#GENERAL,-1,"rude service , medicore food ... there are tons of restaurants in ny ... stay away from this one",general
FOOD#QUALITY,0,"rude service , medicore food ... there are tons of restaurants in ny ... stay away from this one",quality
RESTAURANT#GENERAL,-1,"rude service , medicore food ... there are tons of restaurants in ny ... stay away from this one",general
RESTAURANT#GENERAL,1,i had a grat time at jekyll and hyde !,general
RESTAURANT#GENERAL,1,i loved everythig about it-especially the shows and actors .,general
AMBIENCE#GENERAL,1,i loved everythig about it-especially the shows and actors .,general
AMBIENCE#GENERAL,1,i loved everythig about it-especially the shows and actors .,general
SERVICE#GENERAL,1,our server was very helpful and friendly .,general
RESTAURANT#MISCELLANEOUS,1,i am bringing my whole family back next time .,miscellaneous
FOOD#QUALITY,1,the food was good too .,quality
FOOD#QUALITY,1,the tuna and wasabe potatoes are excellent .,quality
FOOD#QUALITY,1,the tuna and wasabe potatoes are excellent .,quality
LOCATION#GENERAL,1,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,general
AMBIENCE#GENERAL,0,"inside is a little cramped , but to be expected .",general
SERVICE#GENERAL,1,service was prompt and courteous .,general
RESTAURANT#GENERAL,1,this was a repeat visit and we 'll definitely be back again .,general
SERVICE#GENERAL,1,"great service , great food .",general
FOOD#QUALITY,1,"great service , great food .",quality
RESTAURANT#PRICES,0,prices are in line .,prices
LOCATION#GENERAL,-1,but too far east !,general
FOOD#QUALITY,1,"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .",quality
FOOD#QUALITY,1,"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .",quality
FOOD#STYLE_OPTIONS,-1,"two complaints- their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",options
FOOD#QUALITY,-1,"also , because it is so thin , it gets cold very quickly and its not that filling .",quality
FOOD#STYLE_OPTIONS,-1,"also , because it is so thin , it gets cold very quickly and its not that filling .",options
SERVICE#GENERAL,-1,wait staff is blantently unappreciative of your business but its the best pie on the uws !,general
FOOD#QUALITY,1,wait staff is blantently unappreciative of your business but its the best pie on the uws !,quality
FOOD#QUALITY,1,by far the best salad i have had in a fast food restaurant .,quality
FOOD#QUALITY,1,fine dining restaurant quality .,quality
FOOD#STYLE_OPTIONS,1,over 100 different choices to create your own .,options
RESTAURANT#GENERAL,1,a must try !,general
RESTAURANT#GENERAL,1,"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .",general
FOOD#QUALITY,1,"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",quality
AMBIENCE#GENERAL,1,"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",general
FOOD#QUALITY,1,"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm .",quality
FOOD#STYLE_OPTIONS,1,"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm .",options
FOOD#QUALITY,1,"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm .",quality
SERVICE#GENERAL,1,"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm .",general
RESTAURANT#GENERAL,1,"with so many poor experiences to be had in the theater district , is truly an excellent find !",general
RESTAURANT#GENERAL,1,we will return many times for this oasis in mid-town .,general
SERVICE#GENERAL,1,the staff is no nonsense .,general
FOOD#STYLE_OPTIONS,1,the food options rule .,options
FOOD#QUALITY,1,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,quality
RESTAURANT#MISCELLANEOUS,1,worth visiting the 1st ave spot because it is the original store .,miscellaneous
FOOD#QUALITY,1,"he served me an uni hand roll , which i never had before , and let me tell you ... it was heaven !",quality
DRINKS#STYLE_OPTIONS,1,the sake menu should not be overlooked !,options
RESTAURANT#GENERAL,1,"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",general
FOOD#QUALITY,1,try the lobster teriyaki and the rose special roll .,quality
FOOD#QUALITY,1,try the lobster teriyaki and the rose special roll .,quality
SERVICE#GENERAL,1,"service was very good - prompt , attentive and non-intrusive .",general
